index,event_name,object_name,object_handle,attribute_count,tag_hex,tag_text,track_id,target_name,time_seconds,range_m,bearing_rad,rcs_square_meters
1,discover,Target-1,,,,,,,,,,
2,reflect,,ObjectInstanceHandle(value=4),2,7461726765742d696e697469616c,target-initial,,,,,,
3,reflect,,ObjectInstanceHandle(value=4),2,7461726765742d737465702d31,target-step-1,,,,,,
4,query_rcs,,ObjectInstanceHandle(value=4),,,,,,,,,
5,reflect,,ObjectInstanceHandle(value=4),1,7263732d726573706f6e73653a72616461722d7263732d7175657279,rcs-response:radar-rcs-query,,,,,,
6,track,,,,,,TRK-001,Target-1,1.0,10493.969696925944,0.10015160425502397,12.5
7,reflect,,ObjectInstanceHandle(value=4),2,7461726765742d737465702d32,target-step-2,,,,,,
8,query_rcs,,ObjectInstanceHandle(value=4),,,,,,,,,
9,reflect,,ObjectInstanceHandle(value=4),1,7263732d726573706f6e73653a72616461722d7263732d7175657279,rcs-response:radar-rcs-query,,,,,,
10,track,,,,,,TRK-002,Target-1,2.0,10741.210360103743,0.10061151474240683,12.5
11,reflect,,ObjectInstanceHandle(value=4),2,7461726765742d737465702d33,target-step-3,,,,,,
12,query_rcs,,ObjectInstanceHandle(value=4),,,,,,,,,
13,reflect,,ObjectInstanceHandle(value=4),1,7263732d726573706f6e73653a72616461722d7263732d7175657279,rcs-response:radar-rcs-query,,,,,,
14,track,,,,,,TRK-003,Target-1,3.0,10988.657788829352,0.10104999427765002,12.5
15,reflect,,ObjectInstanceHandle(value=4),2,7461726765742d737465702d34,target-step-4,,,,,,
16,query_rcs,,ObjectInstanceHandle(value=4),,,,,,,,,
17,reflect,,ObjectInstanceHandle(value=4),1,7263732d726573706f6e73653a72616461722d7263732d7175657279,rcs-response:radar-rcs-query,,,,,,
18,track,,,,,,TRK-004,Target-1,4.0,11236.298322846364,0.10146850655915136,12.5
