requirement_id,source_document,clause,topic,requirement_text,normative_keyword,derived_interpretation,implementation_target,verification_method,test_id,status,notes
HLA1516.2-ID-001,IEEE 1516.2-2010,Clause 4,Object model identification,Seed row for object model identification extraction,seed,Maps to model identification and module metadata handling,hla2010/fom.py,requirements skeleton,,seeded,Should expand into model identification and provenance requirements
HLA1516.2-OC-001,IEEE 1516.2-2010,Clause 4.2,Object class structure,Seed row for object class table extraction,seed,Maps to object class hierarchy and attribute availability parsing,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_2-object_class_structure
HLA1516.2-IC-001,IEEE 1516.2-2010,Clause 4.3,Interaction class structure,Seed row for interaction class table extraction,seed,Maps to interaction hierarchy and parameter availability parsing,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_3-interaction_class_structure
HLA1516.2-ATTR-001,IEEE 1516.2-2010,Clause 4.4,Attribute tables,Seed row for attribute table extraction,seed,Maps to attribute declarations and lookup fidelity,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_4-attribute_table
HLA1516.2-PARAM-001,IEEE 1516.2-2010,Clause 4.5,Parameter tables,Seed row for parameter table extraction,seed,Maps to interaction parameter declarations and lookup fidelity,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_5-parameter_table
HLA1516.2-DIM-001,IEEE 1516.2-2010,Clause 4.6,Dimension tables,Seed row for dimension table extraction,seed,Maps to routing space and dimension parsing,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_6-dimension_table
HLA1516.2-DT-001,IEEE 1516.2-2010,Clause 4.7,Datatype and time representation tables,Seed row for datatype/time table extraction,seed,Maps to logical time representation selection and OMT datatype parsing,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-4_7-time_representation_table
HLA1516.2-SYNC-001,IEEE 1516.2-2010,Clause 4.9,Synchronization tables,Seed row for synchronization table extraction,seed,Maps to synchronization point declarations and metadata preservation,hla2010/fom.py,requirements skeleton,,seeded,Expand into parser validator and serializer requirements for synchronization point definitions
HLA1516.2-TRANS-001,IEEE 1516.2-2010,Clause 4.10,Transportation tables,Seed row for transportation type extraction,seed,Maps to transportation type declarations and resolvable references from attributes and interactions,hla2010/fom.py,requirements skeleton,,seeded,Expand into parser validation and catalog lookup requirements for transportation types
HLA1516.2-URATE-001,IEEE 1516.2-2010,Clause 4.11,Update rate designators,Seed row for update rate extraction,seed,Maps to update rate declaration lookup and attribute reference validation,hla2010/fom.py,requirements skeleton,,seeded,Expand into parser validation and serializer requirements for update rate metadata
HLA1516.2-SWITCH-001,IEEE 1516.2-2010,Clause 4.12,Switch metadata,Seed row for switch metadata extraction,seed,Maps to switch declarations and resolvable switch references,hla2010/fom.py,requirements skeleton,,seeded,Expand into parser validation requirements for switch metadata used by the MIM and support services
HLA1516.2-DT-002,IEEE 1516.2-2010,Clause 4.13,Datatype system,Seed row for datatype system extraction,seed,Maps to basic simple enumerated array fixed-record and variant-record datatype parsing and validation,hla2010/fom.py,requirements skeleton,,seeded,Expand into datatype parser validator merger and serializer requirements
HLA1516.2-NOTE-001,IEEE 1516.2-2010,Clause 4.14,Notes tables,Seed row for note metadata extraction,seed,Maps to note preservation during parse and serialization,hla2010/fom.py,requirements skeleton,,seeded,Expand into parser and serializer fidelity requirements for note content
HLA1516.2-MIM-001,IEEE 1516.2-2010,Annex D and standard MIM handling,Standard MIM representation,Seed row for standard MIM representation extraction,seed,Maps to bundled standard MIM loading and MOM/MIM exposure behavior,hla2010/resources/foms/HLAstandardMIM.xml,generated whole-spec matrix + focused tests,,seeded,Connect to MOM observer and MIM request/report slices
HLA1516.2-OMT-001,IEEE 1516.2-2010,Clause 7,OMT merge behavior,Seed row for FOM merge rule extraction,seed,Maps to supported merge rules and conflict rejection,hla2010/fom.py,generated whole-spec matrix + focused tests,,seeded,Currently represented by REQ-OMT-7-merging_rules
HLA1516.2-MERGE-001,IEEE 1516.2-2010,Clause 7,FOM module merging,Seed row for detailed FOM module merge extraction,seed,Maps to class datatype dimension and MIM-aware module composition rules,hla2010/fom.py,requirements skeleton,,seeded,Expand into detailed merge consistency conflict detection and merged-representation requirements
HLA1516.2-OMT-002,IEEE 1516.2-2010,Annex E,Schema conformance,Seed row for schema-level conformance extraction,seed,Maps to full XML Schema validation if implemented,hla2010/fom.py,planned verification slice,,seeded,Currently represented by REQ-OMT-Annex_E-schema
HLA1516.2-XML-001,IEEE 1516.2-2010,Annex E,XML interchange,Seed row for XML interchange conformance extraction,seed,Maps to namespace validation schema rejection schema-valid serialization and semantic round-trip fidelity,hla2010/fom.py,requirements skeleton,,seeded,Expand into executable XML conformance and semantic round-trip requirements
