standard,clause,clause_title,capability,codification_status,requirement_rows_total_v0_4,new_rows_added_v0_4,next_action,priority,notes
IEEE 1516-2010 (2010 edition),1,Overview,CAP-FW,Context seeded,0,0,Keep as context; extract only normative scope/purpose if needed.,P2,
IEEE 1516-2010 (2010 edition),2,Normative references,CAP-FW,Context seeded,0,0,Maintain reference list and dependency notes.,P3,
IEEE 1516-2010 (2010 edition),3,"Definitions, acronyms, and abbreviations",CAP-FW,Glossary seeded,0,0,Build glossary/ontology requirements and term crosswalk.,P2,
IEEE 1516-2010 (2010 edition),4,Summary of the HLA rules,CAP-FW,Seeded,0,0,Trace to federation/federate rule rows.,P1,
IEEE 1516-2010 (2010 edition),5,Federation rules,CAP-FW,Seeded,20,0,Deep extract each federation rule into implementation and verification implications.,P1,
IEEE 1516-2010 (2010 edition),6,Federate rules,CAP-FW,Seeded,17,0,Deep extract each federate rule into implementation and verification implications.,P1,
IEEE 1516-2010 (2010 edition),Annex A,Rationale,CAP-FW,Informative,0,0,"Use as design rationale, not direct normative requirements.",P3,
IEEE 1516-2010 (2010 edition),Annex B,Bibliography,CAP-FW,Informative,0,0,Reference only.,P3,
IEEE 1516.1-2010 (2010 edition),1,Overview,CAP-FI,Context seeded,0,0,Extract scope/product-set statements and architecture assumptions.,P2,
IEEE 1516.1-2010 (2010 edition),2,Normative references,CAP-FI,Context seeded,0,0,Maintain reference dependency list.,P3,
IEEE 1516.1-2010 (2010 edition),3,"Definitions, acronyms, and abbreviations",CAP-FI,Glossary seeded,0,0,Build API/FDD term dictionary and handle taxonomy.,P2,
IEEE 1516.1-2010 (2010 edition),4,Federation Management,CAP-FM,Detailed in v0.2,632,0,Review against PDF prose for exact exception/callback edge cases.,P0,
IEEE 1516.1-2010 (2010 edition),5,Declaration Management,CAP-DM,Detailed in v0.4,487,391,Review Clause 5 state chart figures and align tests with Clause 6/9 interactions.,P0,"Clause 5 is now expanded into overview, state constraints, service rows, callbacks, MOM trace hooks, and verification placeholders."
IEEE 1516.1-2010 (2010 edition),6,Object Management,CAP-OM,Seeded/API cataloged,201,0,Next deep tranche: split 6.x services into SVC/ARG/PRE/EFF/EXC/CB/MOM rows.,P0,
IEEE 1516.1-2010 (2010 edition),7,Ownership Management,CAP-OWN,Seeded/API cataloged,101,0,Deep extract ownership transfer state machine and exceptions.,P0,
IEEE 1516.1-2010 (2010 edition),8,Time Management,CAP-TM,Seeded/API cataloged,133,0,"Deep extract time advance, TSO/RO, GALT, LITS, lookahead, retraction behavior.",P0,
IEEE 1516.1-2010 (2010 edition),9,Data Distribution Management,CAP-DDM,Seeded/API cataloged,103,0,"Deep extract regions, dimensions, overlap, and DM reinterpretation rules.",P0,
IEEE 1516.1-2010 (2010 edition),10,Support Services,CAP-SUP,Seeded/API cataloged,259,0,"Deep extract handle/name lookup, advisory switches, factories, and query behavior.",P1,
IEEE 1516.1-2010 (2010 edition),11,Management Object Model,CAP-MOM,Seeded/MIM cataloged,292,0,Deep extract MOM object/interaction obligations and reporting switches.,P0,
IEEE 1516.1-2010 (2010 edition),Annexes,"API bindings, FDD schema, WSDL, MIM artifacts",CAP-FI,Parsed/cataloged in v0.3,0,0,Cross-check generated API/MIM/XSD/WSDL rows against normative annex text.,P1,
IEEE 1516.2-2010 (2010 edition),1,Overview,CAP-OMT,Context seeded,0,0,Extract OMT scope and purpose into parser objectives.,P2,
IEEE 1516.2-2010 (2010 edition),2,Normative references,CAP-OMT,Context seeded,0,0,Maintain reference dependency list.,P3,
IEEE 1516.2-2010 (2010 edition),3,"Definitions, acronyms, and conventions",CAP-OMT,Glossary seeded,0,0,Build OMT term dictionary and parser terminology.,P2,
IEEE 1516.2-2010 (2010 edition),4,HLA OMT components,CAP-OMT,Seeded/XSD cataloged,26,0,"Deep extract each table field, cardinality, dependency, and validation rule.",P0,
IEEE 1516.2-2010 (2010 edition),5,FOM/SOM lexicon,CAP-OMT,Seeded,1,0,Extract lexicon tables and relation to class/attribute/parameter definitions.,P1,
IEEE 1516.2-2010 (2010 edition),6,Conformance,CAP-OMT,Seeded,1,0,Extract conformance labels and verification obligations.,P1,
IEEE 1516.2-2010 (2010 edition),7,FOM/SOM module merging rules,CAP-OMT,Seeded,1,0,Deep extract merge conflict and compatibility rules.,P0,
IEEE 1516.2-2010 (2010 edition),Annex A,Table entry notation,CAP-OMT,Informative,0,0,Use for reader support; not direct requirements unless referenced.,P3,
IEEE 1516.2-2010 (2010 edition),Annex B,Common normalization functions,CAP-DDM,Needs detail,1,0,Extract required normalization functions for DDM dimensions.,P1,
IEEE 1516.2-2010 (2010 edition),Annex C,FOM/SOM module merging principles,CAP-OMT,Needs detail,1,0,Extract normative merge principles and map to merge tests.,P0,
IEEE 1516.2-2010 (2010 edition),Annex D,OMT data interchange format,CAP-XML,Parsed/XSD cataloged,1,0,Extract XML document obligations and round-trip requirements.,P1,
IEEE 1516.2-2010 (2010 edition),Annex E,OMT conformance XML Schema,CAP-XML,Parsed/XSD cataloged,1,0,Map every schema element/type to parser validation tests.,P1,
IEEE 1516.2-2010 (2010 edition),Annex F,OMT DIF SOM example,CAP-XML,Informative,0,0,Use as regression fixture/example input.,P3,
IEEE 1516.2-2010 (2010 edition),Annex G,OMT DIF FOM example,CAP-XML,Informative,0,0,Use as regression fixture/example input.,P3,
IEEE 1516.2-2010 (2010 edition),Annex H,Bibliography,CAP-OMT,Informative,0,0,Reference only.,P3,
